                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      0,                 1.0358,                 2.4236,                 1.3699,                0.63344,                0.64592,                0.65471,                0.48449,                0.85027,                 1.4165,                 1.1691,                  0.073,                  0.003,                  0.003
                      1,                0.90359,                 1.1548,                 1.2818,                 0.7405,                0.71615,                0.73201,                0.56806,                0.86781,                 1.1148,                 1.1875,                0.04504,              0.0060396,              0.0060396
                      2,                0.82765,                 1.1552,                 1.2021,                 0.7532,                 0.5764,                0.66535,                0.45847,                 1.0668,                 1.9038,                 1.3999,               0.017018,              0.0090178,              0.0090178
                      3,                0.83447,                 1.0151,                 1.2046,                  0.781,                0.65938,                0.74169,                0.52985,                0.99636,                 1.2019,                  1.325,               0.009703,               0.009703,               0.009703
                      4,                0.84092,                0.89752,                 1.2023,                0.84124,                0.72193,                0.80094,                0.59338,                0.92513,                 1.1093,                 1.2942,               0.009703,               0.009703,               0.009703
                      5,                0.82654,                0.84563,                 1.1667,                0.85593,                0.76024,                0.84151,                0.60562,                0.97723,                0.88252,                 1.2824,               0.009604,               0.009604,               0.009604
                      6,                0.84363,                0.89194,                  1.201,                0.80211,                 0.8104,                0.85607,                0.62132,                0.96065,                 0.8353,                 1.3133,               0.009505,               0.009505,               0.009505
                      7,                0.83698,                0.77968,                 1.1579,                0.85331,                0.75137,                0.80782,                 0.5843,                 1.0351,                0.89122,                 1.4049,               0.009406,               0.009406,               0.009406
                      8,                0.82688,                0.78706,                 1.1684,                 0.7756,                0.74716,                0.77207,                0.55146,                  1.009,                0.99096,                 1.3298,               0.009307,               0.009307,               0.009307
                      9,                0.84605,                0.77842,                 1.1917,                0.83981,                0.73472,                0.80055,                0.57355,                0.95465,                0.92298,                 1.2967,               0.009208,               0.009208,               0.009208
                     10,                0.82743,                0.76033,                 1.1856,                0.81575,                0.77719,                0.77162,                0.55365,                 1.0314,                0.97709,                 1.4167,               0.009109,               0.009109,               0.009109
                     11,                 0.8433,                0.73492,                 1.1997,                0.84303,                0.74981,                0.79333,                0.58482,                0.98937,                0.85964,                 1.3169,                0.00901,                0.00901,                0.00901
                     12,                0.81478,                0.72241,                 1.1562,                0.85953,                0.72956,                0.79607,                0.58016,                0.97654,                0.94853,                 1.3134,               0.008911,               0.008911,               0.008911
